Element,Atomic Number,Mass Number,Neutron Count,Proton Count,Binding Energy (MeV),Half-Life (seconds),Decay Mode,Stability Index,Predicted Existence Probability (%)
Neon,10,31,21,10,12.723,inf,Stable,1.0,100.0
Lithium,3,7,4,3,11.069,882565928238.433,Gamma,0.192,95.88
Aluminum,13,30,17,13,10.56,674587479872.4403,Beta-,0.052,95.02
Fluorine,9,23,14,9,7.468,750648378627.7092,Beta-,0.2,73.37
Beryllium,4,8,4,4,10.123,466216776618.7767,Alpha,0.953,76.98
Phosphorus,15,38,23,15,8.93,538664513760.78595,Gamma,0.537,63.84
Beryllium,4,15,11,4,1.388,792946857772.7496,Gamma,0.384,91.8
Carbon,6,20,14,6,8.564,248345774011.2327,Beta-,0.732,93.71
Helium,2,8,6,2,3.497,174131386659.31937,Beta+,0.542,84.98
Oxygen,8,31,23,8,6.437,404655204050.0868,Beta+,0.777,92.04
Boron,5,12,7,5,9.575,412606755675.9577,Electron Capture,0.967,76.0
Aluminum,13,26,13,13,11.399,883540499186.4333,Gamma,0.135,59.86
Neon,10,30,20,10,13.579,660880975423.1122,Spontaneous Fission,0.489,81.26
Beryllium,4,11,7,4,8.322,473912568359.2362,Spontaneous Fission,0.743,62.87
Oxygen,8,22,14,8,3.083,610842571250.1373,Gamma,0.862,66.89
Phosphorus,15,35,20,15,2.151,288251749089.89417,Gamma,0.665,95.26
Magnesium,12,42,30,12,1.159,675599755893.048,Alpha,0.483,92.86
Hydrogen,1,2,1,1,12.852,711751725871.9509,Gamma,0.846,98.87
Carbon,6,24,18,6,5.754,978341794781.0057,Alpha,0.561,62.9
Silicon,14,34,20,14,12.126,449714398124.9783,Electron Capture,0.943,55.88
Helium,2,4,2,2,5.725,791153904406.0907,Beta+,0.694,63.92
Magnesium,12,35,23,12,13.496,415018907906.4995,Gamma,0.463,71.62
Silicon,14,54,40,14,12.994,543194445845.69446,Electron Capture,0.612,72.18
Fluorine,9,26,17,9,5.693,134454407979.06882,Gamma,0.715,86.8
Fluorine,9,20,11,9,13.964,621731575738.3492,Alpha,0.918,83.92
Neon,10,29,19,10,13.67,324169594659.97485,Beta+,0.41,59.04
Carbon,6,22,16,6,3.164,645225861464.4442,Electron Capture,0.833,75.69
Helium,2,8,6,2,14.969,427355108175.26245,Spontaneous Fission,0.931,85.31
Phosphorus,15,48,33,15,2.744,946571656318.2274,Beta+,0.279,84.93
Beryllium,4,14,10,4,2.467,67064417146.87195,Gamma,0.174,82.51
Lithium,3,8,5,3,1.586,583109944064.4459,Beta+,0.393,71.62
Carbon,6,24,18,6,3.442,919954927226.186,Spontaneous Fission,0.75,69.24
Carbon,6,24,18,6,2.459,inf,Stable,1.0,100.0
Magnesium,12,34,22,12,5.941,657846513498.6521,Beta-,0.404,98.38
Oxygen,8,28,20,8,9.663,510911742834.3548,Spontaneous Fission,0.429,71.6
Carbon,6,14,8,6,7.303,490955536592.20557,Electron Capture,0.238,57.9
Phosphorus,15,56,41,15,1.945,inf,Stable,1.0,100.0
Carbon,6,17,11,6,4.91,inf,Stable,1.0,100.0
Phosphorus,15,45,30,15,10.234,459730357343.2099,Spontaneous Fission,0.854,65.64
Phosphorus,15,38,23,15,9.892,179713667638.20718,Beta-,0.249,64.92
Magnesium,12,30,18,12,1.552,225161401085.21075,Electron Capture,0.064,54.95
Lithium,3,8,5,3,8.491,541509405285.21954,Gamma,0.441,97.52
Fluorine,9,25,16,9,3.594,689522965118.9036,Beta+,0.253,90.86
Phosphorus,15,51,36,15,6.931,735349433919.379,Alpha,0.384,66.68
Lithium,3,6,3,3,1.057,353425675905.67474,Spontaneous Fission,0.567,71.21
Sodium,11,28,17,11,11.161,inf,Stable,1.0,100.0
Magnesium,12,38,26,12,2.959,450496451807.0814,Beta-,0.556,57.91
Magnesium,12,37,25,12,4.924,948715138115.9915,Spontaneous Fission,0.676,76.27
Carbon,6,15,9,6,5.654,inf,Stable,1.0,100.0
Helium,2,5,3,2,3.805,575257306722.253,Beta-,0.097,53.21
Carbon,6,19,13,6,12.018,716023828934.7003,Alpha,0.068,82.72
Nitrogen,7,28,21,7,11.147,inf,Stable,1.0,100.0
Fluorine,9,35,26,9,3.242,377543422510.01196,Beta+,0.537,98.72
Aluminum,13,44,31,13,4.307,321756509560.89484,Spontaneous Fission,0.872,82.94
Phosphorus,15,40,25,15,7.374,413188042271.7289,Beta-,0.571,92.48
Lithium,3,6,3,3,3.259,32949566056.862057,Beta+,0.538,60.56
Oxygen,8,17,9,8,11.648,inf,Stable,1.0,100.0
Beryllium,4,16,12,4,2.252,118711117871.06381,Beta+,0.099,57.99
Magnesium,12,30,18,12,1.345,102032875738.85478,Beta+,0.382,58.71
Aluminum,13,35,22,13,5.515,inf,Stable,1.0,100.0
Phosphorus,15,34,19,15,4.291,72595852086.78455,Gamma,0.269,82.71
Phosphorus,15,39,24,15,5.246,inf,Stable,1.0,100.0
Phosphorus,15,36,21,15,3.438,31912281867.799374,Spontaneous Fission,0.346,78.05
Fluorine,9,23,14,9,9.877,174860174928.7567,Alpha,0.055,69.33
Beryllium,4,10,6,4,13.357,inf,Stable,1.0,100.0
Aluminum,13,27,14,13,6.204,inf,Stable,1.0,100.0
Neon,10,26,16,10,10.904,733738414236.4786,Gamma,0.589,52.61
Hydrogen,1,3,2,1,4.475,980356323098.4622,Gamma,0.547,67.05
Fluorine,9,33,24,9,6.244,990828445432.0732,Gamma,0.519,92.89
Sodium,11,23,12,11,2.775,573200821432.1863,Beta+,0.772,95.38
Hydrogen,1,3,2,1,6.921,inf,Stable,1.0,100.0
Beryllium,4,11,7,4,12.934,456744967831.31366,Gamma,0.458,86.95
Carbon,6,17,11,6,8.448,542583402455.61633,Alpha,0.587,89.36
Magnesium,12,43,31,12,7.404,615489375057.763,Gamma,0.225,73.98
Boron,5,15,10,5,8.253,998559784832.0143,Beta-,0.054,79.39
Magnesium,12,34,22,12,6.969,617546186666.0562,Beta-,0.115,57.81
Lithium,3,8,5,3,6.933,663774174826.8063,Gamma,0.89,51.14
Lithium,3,8,5,3,5.506,742917662417.7761,Alpha,0.02,83.59
Silicon,14,52,38,14,14.797,329105178021.63794,Alpha,0.537,67.19
Boron,5,15,10,5,6.252,779572348309.9502,Beta-,0.158,90.6
Hydrogen,1,2,1,1,9.431,425445126278.50275,Electron Capture,0.994,68.4
Aluminum,13,43,30,13,11.532,509696337536.3959,Electron Capture,0.414,97.22
Aluminum,13,33,20,13,3.124,565803596509.4604,Beta+,0.973,86.35
Boron,5,20,15,5,3.962,12066976504.384266,Alpha,0.438,51.67
Boron,5,15,10,5,14.172,877541354231.3003,Gamma,0.56,61.79
Fluorine,9,31,22,9,12.609,580022039127.8971,Gamma,0.882,70.93
Nitrogen,7,23,16,7,13.296,364104041003.5089,Beta-,0.751,88.91
Aluminum,13,38,25,13,3.995,inf,Stable,1.0,100.0
Magnesium,12,26,14,12,4.982,348624746427.16156,Beta-,0.756,51.2
Neon,10,20,10,10,10.707,124436690170.25417,Beta+,0.645,53.71
Aluminum,13,45,32,13,10.191,249640934303.00406,Gamma,0.475,65.37
Fluorine,9,19,10,9,13.447,941047586838.2456,Spontaneous Fission,0.02,53.08
Fluorine,9,31,22,9,6.7,inf,Stable,1.0,100.0
Oxygen,8,28,20,8,12.621,572729829159.9133,Alpha,0.213,63.77
Hydrogen,1,3,2,1,1.447,736308115589.3424,Alpha,0.475,81.41
Fluorine,9,32,23,9,7.679,inf,Stable,1.0,100.0
Silicon,14,36,22,14,2.185,312073592941.66315,Beta-,0.939,78.33
Nitrogen,7,27,20,7,10.793,314992418940.47705,Gamma,0.175,58.03
Silicon,14,31,17,14,3.94,450013524124.1402,Beta-,0.493,62.0
Lithium,3,12,9,3,6.379,844020796048.706,Spontaneous Fission,0.481,75.69
Boron,5,20,15,5,9.006,367453689458.61835,Alpha,0.206,88.37
Nitrogen,7,27,20,7,2.342,718314775962.109,Beta+,0.99,91.53
Silicon,14,28,14,14,1.651,912239091327.1903,Alpha,0.628,60.87
Hydrogen,1,2,1,1,8.381,123247039684.60205,Spontaneous Fission,0.535,92.77
Boron,5,13,8,5,13.793,703918821038.053,Beta+,0.439,72.23
Hydrogen,1,3,2,1,11.88,731540559790.9352,Alpha,0.419,81.96
Fluorine,9,25,16,9,7.795,994405988704.2831,Alpha,0.917,94.2
Oxygen,8,30,22,8,3.344,136884114814.54543,Alpha,0.054,68.51
Beryllium,4,16,12,4,7.368,inf,Stable,1.0,100.0
Lithium,3,10,7,3,2.9,785863725607.0259,Beta+,0.318,55.29
Oxygen,8,29,21,8,8.546,228849793057.5144,Beta+,0.263,91.28
Phosphorus,15,60,45,15,1.52,986723281620.9752,Spontaneous Fission,0.575,83.65
Phosphorus,15,37,22,15,14.412,inf,Stable,1.0,100.0
Carbon,6,19,13,6,13.214,839182861493.7366,Electron Capture,0.791,65.0
Phosphorus,15,37,22,15,2.483,inf,Stable,1.0,100.0
Aluminum,13,34,21,13,1.517,740354993398.872,Electron Capture,0.604,89.62
Hydrogen,1,4,3,1,7.712,887959676112.4185,Beta+,0.788,62.37
Silicon,14,30,16,14,13.006,438698958700.1748,Beta+,0.435,90.18
Helium,2,7,5,2,14.127,896188461564.8624,Electron Capture,0.572,56.22
Sodium,11,41,30,11,9.871,401129340842.1057,Beta-,0.618,62.47
Lithium,3,7,4,3,14.083,34672058323.08129,Electron Capture,0.765,53.75
Carbon,6,20,14,6,13.111,inf,Stable,1.0,100.0
Nitrogen,7,22,15,7,10.153,365482117369.8526,Spontaneous Fission,0.917,58.67
Helium,2,5,3,2,2.202,inf,Stable,1.0,100.0
Phosphorus,15,53,38,15,11.793,500189181467.5557,Beta+,0.395,51.66
Magnesium,12,46,34,12,3.582,629993104928.0026,Spontaneous Fission,0.0,74.31
Phosphorus,15,37,22,15,13.088,387937830442.3844,Electron Capture,0.17,62.76
Magnesium,12,46,34,12,13.308,253448287013.63986,Spontaneous Fission,0.603,91.34
Oxygen,8,24,16,8,2.424,276655665945.25385,Spontaneous Fission,0.447,59.67
Phosphorus,15,60,45,15,14.95,418167671418.91376,Beta+,0.045,50.7
Neon,10,26,16,10,6.28,686705428183.704,Electron Capture,0.747,62.02
Neon,10,24,14,10,7.008,932120767459.6602,Alpha,0.459,64.23
Boron,5,20,15,5,4.749,65554417646.87364,Electron Capture,0.548,92.08
Boron,5,15,10,5,11.015,inf,Stable,1.0,100.0
Carbon,6,24,18,6,8.949,312257712247.02905,Beta-,0.838,81.85
Helium,2,5,3,2,8.49,384232561452.183,Beta+,0.124,67.97
Boron,5,11,6,5,10.069,710460325531.0107,Beta+,0.569,78.33
Silicon,14,39,25,14,5.505,790223885381.156,Beta+,0.406,52.56
Nitrogen,7,20,13,7,2.567,90251189277.17967,Alpha,0.61,77.68
Carbon,6,16,10,6,4.165,inf,Stable,1.0,100.0
Phosphorus,15,44,29,15,9.335,740873154332.3097,Gamma,0.77,70.53
Helium,2,8,6,2,2.203,388423755350.5584,Beta+,0.982,85.08
Oxygen,8,23,15,8,3.18,785399964445.2325,Gamma,0.453,86.7
Phosphorus,15,38,23,15,4.739,966861958589.9514,Gamma,0.871,58.91
Silicon,14,45,31,14,13.737,254543844472.68265,Beta+,0.628,65.7
Silicon,14,49,35,14,13.442,141041935340.14554,Alpha,0.676,74.65
Neon,10,36,26,10,4.265,187858867565.454,Electron Capture,0.678,65.23
Beryllium,4,10,6,4,13.985,693465227912.8351,Electron Capture,0.994,96.24
Phosphorus,15,43,28,15,12.327,49261058662.1991,Beta+,0.211,72.05
Boron,5,12,7,5,4.793,533683596363.1532,Alpha,0.631,85.35
Magnesium,12,32,20,12,10.272,318494686943.6649,Electron Capture,0.657,75.04
Fluorine,9,20,11,9,4.649,711136073236.6777,Electron Capture,0.871,58.23
Nitrogen,7,16,9,7,10.324,233381104251.69223,Spontaneous Fission,0.032,87.8
Boron,5,12,7,5,1.308,561904309121.3098,Alpha,0.632,50.84
Beryllium,4,15,11,4,10.591,177057168246.2355,Spontaneous Fission,0.12,57.84
Helium,2,4,2,2,10.619,168655054850.82864,Spontaneous Fission,0.699,70.73
Magnesium,12,40,28,12,3.841,inf,Stable,1.0,100.0
Fluorine,9,23,14,9,2.312,997972736441.7023,Beta-,0.254,69.7
Fluorine,9,27,18,9,14.738,23714956442.982494,Gamma,0.784,98.56
Nitrogen,7,15,8,7,12.482,265893554570.99796,Spontaneous Fission,0.837,74.25
Boron,5,16,11,5,6.886,inf,Stable,1.0,100.0
Carbon,6,23,17,6,4.323,669411108280.7102,Gamma,0.922,92.37
Phosphorus,15,46,31,15,5.917,229256037364.3824,Beta-,0.877,75.46
Hydrogen,1,4,3,1,7.837,inf,Stable,1.0,100.0
Oxygen,8,27,19,8,9.211,309628180922.59204,Gamma,0.134,58.4
Helium,2,8,6,2,6.741,634737682060.2538,Electron Capture,0.832,73.06
Oxygen,8,19,11,8,9.281,288734805754.6859,Beta-,0.468,54.02
Oxygen,8,32,24,8,11.135,inf,Stable,1.0,100.0
Neon,10,33,23,10,4.706,516805812044.2204,Spontaneous Fission,0.176,91.46
Neon,10,24,14,10,10.293,86140787893.14728,Electron Capture,0.307,66.15
Carbon,6,21,15,6,13.361,966923011237.3722,Beta+,0.46,92.8
Oxygen,8,16,8,8,7.338,661302201412.0388,Electron Capture,0.667,96.4
Nitrogen,7,15,8,7,12.23,926745083070.888,Gamma,0.166,84.31
Fluorine,9,23,14,9,4.445,998436930502.771,Beta-,0.529,67.11
Carbon,6,17,11,6,8.365,69589033509.96414,Electron Capture,0.914,80.25
Aluminum,13,37,24,13,5.323,inf,Stable,1.0,100.0
Beryllium,4,8,4,4,11.319,87875929342.92076,Spontaneous Fission,0.001,97.82
Carbon,6,20,14,6,9.97,985670268602.9371,Spontaneous Fission,0.111,74.32
Boron,5,17,12,5,11.847,380433097990.04376,Alpha,0.737,86.1
Aluminum,13,39,26,13,9.798,669805768532.2195,Beta-,0.084,65.21
Beryllium,4,16,12,4,13.289,292699134309.66846,Spontaneous Fission,0.212,71.22
Beryllium,4,16,12,4,8.876,774333764220.2766,Spontaneous Fission,0.416,67.84
Lithium,3,12,9,3,14.59,779398010759.8912,Beta+,0.573,69.12
Sodium,11,33,22,11,14.167,447852153264.51575,Gamma,0.472,79.7
Phosphorus,15,37,22,15,8.528,213912313241.64606,Gamma,0.201,92.91
Nitrogen,7,19,12,7,3.263,193206188426.72543,Beta+,0.003,93.49
Silicon,14,32,18,14,5.614,inf,Stable,1.0,100.0
Hydrogen,1,3,2,1,4.715,934612503180.6914,Gamma,0.391,89.55
Magnesium,12,40,28,12,6.218,inf,Stable,1.0,100.0
Beryllium,4,11,7,4,1.335,180109351130.70746,Beta+,0.713,51.58
Carbon,6,18,12,6,4.853,77574901694.63577,Spontaneous Fission,0.515,97.7
Beryllium,4,16,12,4,3.253,890982986495.8687,Electron Capture,0.47,98.91
Silicon,14,45,31,14,6.093,685705545421.3649,Beta-,0.95,87.59
Sodium,11,23,12,11,3.596,443258175180.4415,Electron Capture,0.885,93.02
Oxygen,8,29,21,8,6.134,207891774559.2641,Spontaneous Fission,0.846,58.5
Carbon,6,20,14,6,9.356,330312777554.0816,Beta+,0.107,74.0
Phosphorus,15,59,44,15,10.926,inf,Stable,1.0,100.0
Phosphorus,15,33,18,15,6.263,107381446033.47432,Electron Capture,0.012,54.28
Helium,2,6,4,2,5.415,189867279929.25378,Gamma,0.146,92.38
Nitrogen,7,24,17,7,1.07,324437059475.1746,Gamma,0.66,70.92
Beryllium,4,14,10,4,8.119,956097671431.4323,Spontaneous Fission,0.526,80.0
Beryllium,4,10,6,4,4.437,826431344065.9442,Beta+,0.268,89.68
Fluorine,9,27,18,9,4.97,77389434456.32095,Alpha,0.586,80.85
Lithium,3,8,5,3,8.582,inf,Stable,1.0,100.0
Phosphorus,15,30,15,15,2.939,504537208936.25476,Beta-,0.068,70.29
Lithium,3,9,6,3,10.181,942570041751.3279,Beta+,0.083,71.55
Sodium,11,28,17,11,3.292,348602347786.6339,Beta+,0.185,55.03
Aluminum,13,37,24,13,4.418,779052382012.1552,Beta+,0.69,72.37
Lithium,3,9,6,3,14.178,946803852549.6578,Alpha,0.895,94.25
Fluorine,9,23,14,9,13.07,291309161119.3248,Beta+,0.364,62.36
Beryllium,4,9,5,4,12.628,inf,Stable,1.0,100.0
Carbon,6,15,9,6,5.364,914933688804.3748,Spontaneous Fission,0.894,62.18
Magnesium,12,34,22,12,3.531,688908202599.4226,Electron Capture,0.112,53.62
Carbon,6,18,12,6,9.628,496614752007.8272,Beta-,0.731,69.4
Magnesium,12,34,22,12,8.64,848218136939.6315,Gamma,0.943,81.02
Carbon,6,18,12,6,14.116,233552203837.7784,Gamma,0.034,60.72
Fluorine,9,22,13,9,12.5,inf,Stable,1.0,100.0
Fluorine,9,33,24,9,4.896,770900021388.9226,Spontaneous Fission,0.654,54.42
Phosphorus,15,30,15,15,10.411,482577835761.9066,Electron Capture,0.786,94.31
Neon,10,20,10,10,4.571,612097860666.8756,Alpha,0.329,58.44
Carbon,6,19,13,6,8.02,383399950467.979,Spontaneous Fission,0.719,78.55
Silicon,14,30,16,14,2.745,514014815507.307,Electron Capture,0.571,62.26
Silicon,14,56,42,14,5.185,884053911599.7405,Electron Capture,0.557,58.56
Magnesium,12,30,18,12,11.026,217099653757.81525,Electron Capture,0.364,88.89
Magnesium,12,39,27,12,11.75,71673489943.5515,Beta+,0.727,66.49
Fluorine,9,19,10,9,12.136,864604922338.696,Spontaneous Fission,0.51,72.68
Hydrogen,1,3,2,1,5.373,829798893096.6161,Spontaneous Fission,0.3,74.4
Aluminum,13,51,38,13,5.172,370572252033.7319,Beta-,0.994,75.15
Lithium,3,10,7,3,10.647,609821026841.1248,Alpha,0.253,76.7
Helium,2,5,3,2,6.077,831224098172.6381,Beta-,0.696,53.17
Silicon,14,51,37,14,2.045,792296897448.8497,Beta-,0.753,72.05
Carbon,6,18,12,6,4.81,847921291745.7058,Gamma,0.561,90.42
Sodium,11,42,31,11,14.473,53072818823.15163,Beta+,0.488,67.04
Beryllium,4,16,12,4,8.586,122797616970.53682,Gamma,0.722,88.8
Magnesium,12,38,26,12,11.925,inf,Stable,1.0,100.0
Carbon,6,21,15,6,7.324,51501928377.62901,Beta+,0.584,78.39
Helium,2,5,3,2,13.487,407414295942.5088,Alpha,0.003,86.0
Carbon,6,22,16,6,2.283,777729814420.2854,Spontaneous Fission,0.298,57.06
Fluorine,9,32,23,9,4.14,inf,Stable,1.0,100.0
Hydrogen,1,2,1,1,8.577,190746476233.96103,Alpha,0.701,57.17
Phosphorus,15,46,31,15,11.41,537398068019.66003,Beta+,0.957,50.18
Neon,10,27,17,10,14.515,608354386569.7633,Electron Capture,0.945,78.55
Sodium,11,23,12,11,2.012,26308420612.68912,Gamma,0.766,88.23
Neon,10,26,16,10,2.508,328602429268.1829,Beta+,0.573,78.1
Magnesium,12,45,33,12,13.066,472003109089.0534,Alpha,0.94,54.78
Magnesium,12,26,14,12,8.375,529215308384.7448,Beta+,0.944,62.73
Neon,10,22,12,10,12.824,inf,Stable,1.0,100.0
Beryllium,4,8,4,4,7.406,inf,Stable,1.0,100.0
Magnesium,12,35,23,12,12.348,330975627414.73016,Gamma,0.663,65.38
Aluminum,13,48,35,13,8.824,561912049199.5543,Electron Capture,0.033,74.31
Nitrogen,7,25,18,7,12.856,381899928880.0774,Alpha,0.345,57.91
Lithium,3,11,8,3,10.752,385962430471.7251,Beta+,0.565,59.77
Carbon,6,15,9,6,6.657,inf,Stable,1.0,100.0
Carbon,6,24,18,6,12.972,inf,Stable,1.0,100.0
Magnesium,12,44,32,12,3.711,505380088548.76105,Spontaneous Fission,0.676,93.71
Nitrogen,7,20,13,7,3.871,18443865904.090416,Alpha,0.528,94.75
Lithium,3,6,3,3,6.114,809148581548.704,Gamma,0.682,68.99
Beryllium,4,15,11,4,6.783,245358933029.11972,Beta-,0.655,59.24
Helium,2,6,4,2,13.982,23474340302.596542,Gamma,0.724,67.87
Phosphorus,15,50,35,15,14.768,631433432318.6849,Beta+,0.811,71.53
Silicon,14,44,30,14,5.709,284784172420.00385,Beta-,0.29,93.97
Carbon,6,21,15,6,12.866,76077401354.81223,Alpha,0.037,98.24
Magnesium,12,30,18,12,14.007,188528823996.26392,Alpha,0.073,94.5
Nitrogen,7,16,9,7,10.485,599921730400.7286,Alpha,0.099,71.2
Aluminum,13,30,17,13,12.211,623374705726.0168,Alpha,0.487,81.83
Helium,2,4,2,2,11.294,730402520847.6643,Beta+,0.66,86.44
Phosphorus,15,53,38,15,7.153,943685872197.0122,Beta-,0.234,84.06
Phosphorus,15,33,18,15,10.387,707083769926.6101,Beta+,0.383,72.34
Silicon,14,32,18,14,4.684,334252306329.535,Beta-,0.771,57.36
Phosphorus,15,41,26,15,14.591,512764330554.465,Electron Capture,0.482,97.69
Lithium,3,6,3,3,5.832,787730733670.7875,Beta+,0.7,80.39
Hydrogen,1,2,1,1,6.437,810427769102.2571,Electron Capture,0.773,70.14
Hydrogen,1,2,1,1,11.519,620499418869.6045,Gamma,0.757,90.16
Helium,2,7,5,2,14.543,542605992633.079,Spontaneous Fission,0.019,57.29
Hydrogen,1,4,3,1,1.782,175779550514.18115,Beta-,0.112,89.17
Silicon,14,39,25,14,1.645,inf,Stable,1.0,100.0
Hydrogen,1,3,2,1,3.002,499935684556.52216,Alpha,0.262,55.68
Neon,10,39,29,10,5.918,912227150602.7812,Electron Capture,0.107,82.68
Boron,5,19,14,5,6.518,321818716886.7618,Spontaneous Fission,0.703,55.69
Magnesium,12,46,34,12,6.445,59684090464.7985,Alpha,0.812,91.16
Nitrogen,7,14,7,7,6.533,4322153546.402864,Spontaneous Fission,0.32,73.42
Helium,2,6,4,2,9.631,112241084854.43251,Electron Capture,0.859,97.77
Silicon,14,56,42,14,4.586,789030048344.1323,Gamma,0.632,89.22
Boron,5,11,6,5,6.12,479575055170.10925,Spontaneous Fission,0.2,61.0
Sodium,11,37,26,11,7.889,908513070130.4121,Alpha,0.124,89.13
Carbon,6,20,14,6,3.359,130301354609.7036,Electron Capture,0.548,81.55
Fluorine,9,25,16,9,8.474,764249120655.9744,Beta-,0.953,82.08
Hydrogen,1,2,1,1,10.452,451110897912.7212,Beta+,0.87,93.46
Boron,5,10,5,5,14.045,inf,Stable,1.0,100.0
Hydrogen,1,3,2,1,9.667,497269532887.08984,Beta+,0.577,55.72
Fluorine,9,25,16,9,6.014,781744220247.8016,Beta-,0.705,86.81
Carbon,6,12,6,6,11.291,955397339385.1117,Gamma,0.838,56.56
Oxygen,8,32,24,8,10.32,508956981867.12,Beta+,0.79,82.42
Silicon,14,56,42,14,11.571,991807786332.0376,Spontaneous Fission,0.212,89.77
Phosphorus,15,43,28,15,13.343,690913955922.9497,Spontaneous Fission,0.882,82.34
Phosphorus,15,41,26,15,2.859,357854053579.3375,Alpha,0.387,52.4
Aluminum,13,47,34,13,2.811,595081742672.9026,Alpha,0.617,75.47
Helium,2,6,4,2,1.735,67505863959.00582,Gamma,0.485,98.86
Carbon,6,16,10,6,13.724,338395394321.5515,Beta+,0.407,67.77
Magnesium,12,38,26,12,6.562,122477867898.20947,Gamma,0.399,70.81
Helium,2,4,2,2,12.079,45338460189.761734,Spontaneous Fission,0.351,64.25
Oxygen,8,32,24,8,3.315,268690008993.7827,Electron Capture,0.095,58.43
Phosphorus,15,43,28,15,2.3,inf,Stable,1.0,100.0
Helium,2,8,6,2,5.66,228587571554.81857,Beta-,0.03,64.35
Oxygen,8,23,15,8,2.64,210401625815.43,Spontaneous Fission,0.423,56.45
Aluminum,13,27,14,13,12.43,272517842886.2598,Beta+,0.973,82.4
Phosphorus,15,53,38,15,3.642,711313131887.6993,Gamma,0.745,80.25
Boron,5,10,5,5,5.935,177874544546.54095,Gamma,0.093,72.48
Helium,2,6,4,2,7.773,inf,Stable,1.0,100.0
Neon,10,34,24,10,8.969,inf,Stable,1.0,100.0
Sodium,11,33,22,11,7.78,inf,Stable,1.0,100.0
Oxygen,8,27,19,8,14.308,598532934697.5704,Alpha,0.118,60.7
Oxygen,8,19,11,8,8.949,inf,Stable,1.0,100.0
Sodium,11,37,26,11,10.096,289419396954.52734,Electron Capture,0.633,89.93
Magnesium,12,25,13,12,4.616,inf,Stable,1.0,100.0
Nitrogen,7,26,19,7,3.561,inf,Stable,1.0,100.0
Neon,10,35,25,10,12.171,460574762824.3237,Spontaneous Fission,0.729,97.33
Fluorine,9,20,11,9,10.254,836617542472.1559,Alpha,0.741,63.63
Fluorine,9,18,9,9,2.341,575118457197.5149,Alpha,0.588,89.49
Beryllium,4,10,6,4,6.681,92247756190.14603,Spontaneous Fission,0.684,65.53
Aluminum,13,27,14,13,1.54,986499340123.2797,Beta-,0.17,85.44
Silicon,14,54,40,14,5.004,610870831931.6005,Gamma,0.698,88.06
Nitrogen,7,23,16,7,3.636,297414034003.3047,Gamma,0.214,97.92
Lithium,3,7,4,3,6.283,inf,Stable,1.0,100.0
Helium,2,5,3,2,7.699,532464332316.9651,Beta-,0.918,91.09
Hydrogen,1,4,3,1,13.222,788153789496.9285,Beta-,0.29,85.01
Oxygen,8,17,9,8,4.723,inf,Stable,1.0,100.0
Aluminum,13,35,22,13,13.76,516769877551.8704,Beta-,0.107,92.88
Helium,2,7,5,2,14.047,738972127213.9634,Spontaneous Fission,0.343,70.91
Neon,10,34,24,10,10.134,805403697781.3103,Beta+,0.214,92.58
Nitrogen,7,20,13,7,1.284,868731785510.6702,Beta-,0.916,73.49
Lithium,3,10,7,3,8.36,61108132720.129715,Beta+,0.212,74.25
Fluorine,9,36,27,9,2.733,261728153157.46524,Spontaneous Fission,0.293,64.89
Neon,10,28,18,10,9.685,44734006393.91723,Gamma,0.15,79.91
Boron,5,10,5,5,7.391,2470362485.577971,Alpha,0.259,79.21
Lithium,3,10,7,3,6.609,956031338098.5072,Gamma,0.932,75.52
Oxygen,8,19,11,8,2.725,704702216249.3208,Beta+,0.894,50.26
Sodium,11,27,16,11,9.119,883243332575.6632,Spontaneous Fission,0.672,65.36
Oxygen,8,24,16,8,8.412,547371009787.48785,Electron Capture,0.145,73.3
Nitrogen,7,20,13,7,4.35,inf,Stable,1.0,100.0
Aluminum,13,32,19,13,14.889,396321794604.12286,Beta+,0.092,64.33
Hydrogen,1,2,1,1,12.908,861400543983.9779,Gamma,0.058,73.3
Hydrogen,1,2,1,1,4.159,643708899061.0312,Gamma,0.305,73.98
Fluorine,9,35,26,9,2.261,24964576376.8227,Spontaneous Fission,0.726,52.08
Lithium,3,12,9,3,14.889,479674115232.7846,Electron Capture,0.187,92.17
Aluminum,13,32,19,13,8.308,820492598503.4055,Electron Capture,0.437,58.33
Nitrogen,7,23,16,7,2.668,376262221570.975,Electron Capture,0.698,52.11
Beryllium,4,8,4,4,13.401,919566833559.1836,Beta+,0.058,87.24
Aluminum,13,28,15,13,8.275,639149349696.895,Spontaneous Fission,0.077,69.81
Oxygen,8,16,8,8,8.901,inf,Stable,1.0,100.0
Lithium,3,7,4,3,1.902,inf,Stable,1.0,100.0
Hydrogen,1,3,2,1,6.807,940696292369.5109,Beta-,0.127,90.75
Beryllium,4,8,4,4,5.278,876628300274.3561,Spontaneous Fission,0.124,93.88
Helium,2,4,2,2,14.76,855263336776.4805,Spontaneous Fission,0.648,59.56
Carbon,6,22,16,6,4.371,inf,Stable,1.0,100.0
Phosphorus,15,38,23,15,9.848,919922504171.8489,Beta+,0.879,52.06
Carbon,6,19,13,6,10.862,374600284092.24286,Beta-,0.815,77.91
Sodium,11,27,16,11,6.416,995525385850.8143,Spontaneous Fission,0.725,90.69
Nitrogen,7,24,17,7,4.156,954668320663.4325,Beta-,0.907,71.27
Neon,10,36,26,10,5.473,224667753977.7764,Spontaneous Fission,0.153,50.3
